year,start_ts,end_ts,yield,yield_x1,yield_x2,yield_x3,yield_x4,kWh_x1,kWh_x2,kWh_x3,kWh_x4,depr_panel,depr_battery,n_panel,n_battery,grid_amp,grid_volt,spot_min,spot_max,spot_mean,spot_std,pv_kWh_min,pv_kWh_max,pv_kWh_mean,pv_kWh_std
2021,2021-08-28 12:00:00,2021-08-29 23:00:00,202.36,196.65,0.0,58.47,-0.0,339.76,81.65,79.2,0.0,21.24,31.52,100,9,63,400,500.46,755.96,614.45,82.34,0.0,0.75,0.19,0.25
2021,2021-03-28 13:00:00,2021-03-29 23:00:00,39.45,60.1,0.0,0.0,-0.0,315.7,38.14,0.0,0.0,20.65,0.0,100,9,63,400,116.6,361.02,199.9,83.66,0.0,0.82,0.19,0.27
2021,2021-05-15 12:00:00,2021-05-16 23:00:00,62.02,67.93,0.0,48.46,-1.36,293.91,70.66,79.81,11.61,21.24,31.76,100,9,63,400,100.24,631.27,348.95,163.1,0.0,0.46,0.14,0.15
2021,2021-07-01 12:00:00,2021-07-02 23:00:00,277.96,266.44,0.0,64.78,-0.0,380.57,82.94,80.45,0.0,21.24,32.02,100,9,63,400,611.09,910.91,712.31,75.86,0.0,0.83,0.2,0.25
2021,2021-04-14 12:00:00,2021-04-15 23:00:00,182.22,167.29,0.0,97.48,-0.0,369.9,158.83,154.07,0.0,21.24,61.32,100,9,63,400,346.42,877.59,489.26,131.57,0.0,0.82,0.23,0.28
2021,2021-03-03 12:00:00,2021-03-04 23:00:00,36.34,57.58,0.0,0.0,-0.0,145.88,0.0,0.0,0.0,21.24,0.0,100,9,63,400,275.14,520.51,393.41,65.11,0.0,0.22,0.05,0.07
2021,2021-01-10 12:00:00,2021-01-11 23:00:00,-1.7,19.54,0.0,0.0,-0.0,58.8,0.0,0.0,0.0,21.24,0.0,100,9,63,400,203.7,471.59,331.05,61.68,0.0,0.28,0.02,0.06
2021,2021-09-01 12:00:00,2021-09-02 23:00:00,272.75,237.46,0.0,88.05,-0.0,283.18,81.65,79.2,0.0,21.24,31.52,100,9,63,400,702.81,1178.74,864.57,147.05,0.0,0.75,0.15,0.23
2021,2021-12-15 12:00:00,2021-12-16 23:00:00,289.46,192.41,0.0,160.72,-8.79,156.76,5.49,84.53,81.65,21.24,33.64,100,9,63,400,104.25,2778.31,896.67,615.7,0.0,0.39,0.06,0.12
2021,2021-12-16 12:00:00,2021-12-17 23:00:00,267.52,117.28,0.0,283.36,-61.86,84.0,13.84,125.66,115.7,21.24,50.01,100,9,63,400,139.72,2825.23,1302.13,671.54,0.0,0.35,0.04,0.08
2021,2021-05-29 12:00:00,2021-05-30 23:00:00,95.13,92.23,0.0,85.91,-0.0,428.6,159.99,155.19,0.0,21.24,61.77,100,9,63,400,113.03,589.63,341.85,151.78,0.0,0.73,0.25,0.28
2021,2021-11-11 12:00:00,2021-11-12 23:00:00,53.59,42.18,0.0,219.45,-135.71,33.09,7.13,128.38,125.22,21.24,51.1,100,9,63,400,591.46,1875.14,1241.67,321.61,0.0,0.1,0.01,0.03
2021,2021-02-20 12:00:00,2021-02-21 23:00:00,23.98,44.12,0.0,15.5,-0.0,170.71,37.28,36.16,0.0,21.24,14.39,100,9,63,400,213.2,431.76,274.82,58.34,0.0,0.53,0.08,0.15
2021,2021-05-06 12:00:00,2021-05-07 23:00:00,199.31,197.37,0.0,71.62,-0.0,387.05,125.49,121.73,0.0,21.24,48.45,100,9,63,400,388.3,744.03,509.91,90.18,0.0,0.83,0.23,0.29
2021,2021-01-25 12:00:00,2021-01-26 23:00:00,29.93,51.17,0.0,0.0,-0.0,99.55,0.0,0.0,0.0,21.24,0.0,100,9,63,400,305.18,550.18,459.32,75.08,0.0,0.32,0.04,0.08
