HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR,Date,Hour
2021-01-07 22:00:00,2021-01-07 23:00:00,DK2,388.649994,52.25,2021-01-07,23
2021-01-07 23:00:00,2021-01-08 00:00:00,DK2,366.839996,49.310001,2021-01-08,0
2021-01-08 00:00:00,2021-01-08 01:00:00,DK2,352.480011,47.380001,2021-01-08,1
2021-01-08 01:00:00,2021-01-08 02:00:00,DK2,340.579987,45.779999,2021-01-08,2
2021-01-08 02:00:00,2021-01-08 03:00:00,DK2,331.130005,44.509998,2021-01-08,3
2021-01-08 03:00:00,2021-01-08 04:00:00,DK2,339.910004,45.689999,2021-01-08,4
2021-01-08 04:00:00,2021-01-08 05:00:00,DK2,374.429993,50.330002,2021-01-08,5
2021-01-08 05:00:00,2021-01-08 06:00:00,DK2,444.209991,59.709999,2021-01-08,6
2021-01-08 06:00:00,2021-01-08 07:00:00,DK2,591.890015,79.559998,2021-01-08,7
2021-01-08 07:00:00,2021-01-08 08:00:00,DK2,770.289978,103.540001,2021-01-08,8
2021-01-08 08:00:00,2021-01-08 09:00:00,DK2,801.97998,107.800003,2021-01-08,9
2021-01-08 09:00:00,2021-01-08 10:00:00,DK2,798.409973,107.32,2021-01-08,10
2021-01-08 10:00:00,2021-01-08 11:00:00,DK2,775.640015,104.260002,2021-01-08,11
2021-01-08 11:00:00,2021-01-08 12:00:00,DK2,743.280029,99.910004,2021-01-08,12
2021-01-08 12:00:00,2021-01-08 13:00:00,DK2,708.76001,95.269997,2021-01-08,13
2021-01-08 13:00:00,2021-01-08 14:00:00,DK2,689.789978,92.720001,2021-01-08,14
2021-01-08 14:00:00,2021-01-08 15:00:00,DK2,709.880005,95.419998,2021-01-08,15
2021-01-08 15:00:00,2021-01-08 16:00:00,DK2,706.75,95.0,2021-01-08,16
2021-01-08 16:00:00,2021-01-08 17:00:00,DK2,818.349976,110.0,2021-01-08,17
2021-01-08 17:00:00,2021-01-08 18:00:00,DK2,743.580017,99.949997,2021-01-08,18
2021-01-08 18:00:00,2021-01-08 19:00:00,DK2,596.049988,80.120003,2021-01-08,19
2021-01-08 19:00:00,2021-01-08 20:00:00,DK2,477.910004,64.239998,2021-01-08,20
2021-01-08 20:00:00,2021-01-08 21:00:00,DK2,442.130005,59.43,2021-01-08,21
2021-01-08 21:00:00,2021-01-08 22:00:00,DK2,418.25,56.220001,2021-01-08,22
2021-01-08 22:00:00,2021-01-08 23:00:00,DK2,384.98999,51.75,2021-01-08,23
2021-01-08 23:00:00,2021-01-09 00:00:00,DK2,376.859985,50.669998,2021-01-09,0
2021-01-09 00:00:00,2021-01-09 01:00:00,DK2,361.470001,48.599998,2021-01-09,1
2021-01-09 01:00:00,2021-01-09 02:00:00,DK2,357.149994,48.02,2021-01-09,2
2021-01-09 02:00:00,2021-01-09 03:00:00,DK2,366.299988,49.25,2021-01-09,3
2021-01-09 03:00:00,2021-01-09 04:00:00,DK2,369.130005,49.630001,2021-01-09,4
2021-01-09 04:00:00,2021-01-09 05:00:00,DK2,355.290009,47.77,2021-01-09,5
2021-01-09 05:00:00,2021-01-09 06:00:00,DK2,368.679993,49.57,2021-01-09,6
2021-01-09 06:00:00,2021-01-09 07:00:00,DK2,400.290009,53.82,2021-01-09,7
2021-01-09 07:00:00,2021-01-09 08:00:00,DK2,444.769989,59.799999,2021-01-09,8
2021-01-09 08:00:00,2021-01-09 09:00:00,DK2,497.720001,66.919998,2021-01-09,9
2021-01-09 09:00:00,2021-01-09 10:00:00,DK2,503.600006,67.709999,2021-01-09,10
2021-01-09 10:00:00,2021-01-09 11:00:00,DK2,505.76001,68.0,2021-01-09,11
